number,group,image,audio,passage,question_text,o1,o2,o3,o4,correct,img_url,audio_url
,part_1_1,part_1_1.jpg,part_1_1.mp3,,,A man is putting up a tent,A man is holding a piece of wood,A man is changing a tire,A man is clearing off a picnic table.,B,https://my-toeic-bucket.s3.amazonaws.com/test_1/images/part_1_1.jpg,https://my-toeic-bucket.s3.amazonaws.com/test_1/audio/part_1_1.mp3
,part_1_2,part_1_2.jpg,part_1_2.mp3,,,Some people are carrying suitcases,Some people are waiting in a lobby,Some people are putting on jackets.,Some people are entering a hotel,B,https://my-toeic-bucket.s3.amazonaws.com/test_1/images/part_1_2.jpg,https://my-toeic-bucket.s3.amazonaws.com/test_1/audio/part_1_2.mp3
,part_1_3,part_1_3.jpg,part_1_3.mp3,,,A bag has been placed on the floor.,The woman is putting a note on the bulletin board.,A newspaper has been spread out on the carpet.,The woman is arranging pillows on a sofa,A,https://my-toeic-bucket.s3.amazonaws.com/test_1/images/part_1_3.jpg,https://my-toeic-bucket.s3.amazonaws.com/test_1/audio/part_1_3.mp3
,part_1_4,part_1_4.jpg,part_1_4.mp3,,,A desk is covered with papers,Some chairs are stacked in a corner.,Two computers are set up next to each other.,The office is being painted,C,https://my-toeic-bucket.s3.amazonaws.com/test_1/images/part_1_4.jpg,https://my-toeic-bucket.s3.amazonaws.com/test_1/audio/part_1_4.mp3
,part_1_5,part_1_5.jpg,part_1_5.mp3,,,Some vehicles are parked in a garage,Some trees are being planted on a street,A ladder is lying on the ground,A streetlamp is being repaired,D,https://my-toeic-bucket.s3.amazonaws.com/test_1/images/part_1_5.jpg,https://my-toeic-bucket.s3.amazonaws.com/test_1/audio/part_1_5.mp3
,part_1_6,part_1_6.jpg,part_1_6.mp3,,,Some cyclists are riding past a building,Some scaffolding has been erected against a stone wall.,A woman is walking under an archway,Some bicycles have been parked along a railing.,D,https://my-toeic-bucket.s3.amazonaws.com/test_1/images/part_1_6.jpg,https://my-toeic-bucket.s3.amazonaws.com/test_1/audio/part_1_6.mp3
7,part_2_1,,part_2_1.mp3,,,Two window seats.,The travel agency.,"No, not until next November.",,C,,https://my-toeic-bucket.s3.amazonaws.com/test_1/audio/part_2_1.mp3
8,part_2_2,,part_2_2.mp3,,,He picked it up this morning,That's all right; I don't want any.,A floral arrangement,,A,,https://my-toeic-bucket.s3.amazonaws.com/test_1/audio/part_2_2.mp3
9,part_2_3,,part_2_3.mp3,,,Don't forget to sign up.,The invitations have already been sent out.,I attended that meeting,,B,,https://my-toeic-bucket.s3.amazonaws.com/test_1/audio/part_2_3.mp3
10,part_2_4,,part_2_4.mp3,,,I'll just use a ladder.,The shipping was free.,His office is upstairs.,,A,,https://my-toeic-bucket.s3.amazonaws.com/test_1/audio/part_2_4.mp3
11,part_2_5,,part_2_5.mp3,,,On the third floor.,A pool of five applicants,Someone from the London branch,,C,,https://my-toeic-bucket.s3.amazonaws.com/test_1/audio/part_2_5.mp3
12,part_2_6,,part_2_6.mp3,,,"No, he didn't pay for it.",The keys are in the supply drawer.,"I did, but there's been a delay.",,C,,https://my-toeic-bucket.s3.amazonaws.com/test_1/audio/part_2_6.mp3
13,part_2_7,,part_2_7.mp3,,,I'm walking today.,A one-way ticket,It's on Thirty-Fourth Street,,A,,https://my-toeic-bucket.s3.amazonaws.com/test_1/audio/part_2_7.mp3
14,part_2_8,,part_2_8.mp3,,,A graph showing sales projections.,I did enjoy the internship,I hadn't thought of that!,,C,,https://my-toeic-bucket.s3.amazonaws.com/test_1/audio/part_2_8.mp3
15,part_2_9,,part_2_9.mp3,,,There's a building directory behind you,It's mostly industrial machine parts.,"Yes, that's where we're located",,A,,https://my-toeic-bucket.s3.amazonaws.com/test_1/audio/part_2_9.mp3
16,part_2_10,,part_2_10.mp3,,,The new design is very popular,We're open until seven o'clock,You're welcome to fill out an application,,C,,https://my-toeic-bucket.s3.amazonaws.com/test_1/audio/part_2_10.mp3
